name;sex;Number
Jacob;M;255
Andréa;M;255
Eline;F;254
Eloi;M;254
Alyssa;F;253
Tara;F;253
Janna;F;252
Swann;M;251
Clotilde;F;249
Marwa;F;249
Maud;F;249
Elodie;F;249
Jessica;F;249
Noor;F;248
Laure;F;248
Elijah;M;248
Syrine;F;248
Alia;F;247
Fleur;F;247
Amy;F;247
Léana;F;247
Mahé;M;246
Swann;F;245
Elliott;M;245
Marianne;F;245
Ange;M;245
Leonardo;M;245
Sienna;F;244
June;F;244
Célestine;F;241
Aline;F;241
Damien;M;241
Orso;M;240
Aymeric;M;239
Elyes;M;239
Lia;F;238
Malak;F;237
Lassana;M;236
Gauthier;M;236
Caroline;F;236
Hanaé;F;236
Aïssatou;F;235
Sonia;F;234
Angelina;F;234
Nélia;F;234
Cécile;F;234
Ewen;M;233
Élie;M;233
Naïla;F;232
Ethel;F;232
Mahault;F;231
Yohan;M;231
Mya;F;229
Isabelle;F;228
Melissa;F;228
Nahil;M;228
Soan;M;227
Emilia;F;227
Youcef;M;227
Moustapha;M;226
Carmen;F;225
Lior;M;224
Shana;F;224
Boubacar;M;223
Assa;F;222
Bakary;M;222
Lya;F;222
Mayssa;F;222
Melchior;M;222
Line;F;220
Anaé;F;220
Kenzo;M;219
Cheick;M;218
Joy;F;218
Anissa;F;217
Jérémie;M;216
Niels;M;215
Ilyana;F;215
Abdallah;M;214
Enora;F;213
Coumba;F;213
Fares;M;213
Gloria;F;212
Marwan;M;212
Christian;M;211
Aïssata;F;211
Mariame;F;210
Loup;M;210
Alix;M;209
Colin;M;209
Sana;F;209
Maylis;F;208
Clovis;M;207
Lou;M;207
Sébastien;M;207
Harry;M;207
Lydia;F;206
Neyla;F;206
Naëlle;F;206
Camil;M;206
Nayla;F;205
Kelly;F;205
Mayeul;M;205
Gabriela;F;204
Philomène;F;204
Jason;M;203
Albert;M;203
Anne;F;203
Saul;M;202
Amalia;F;202
Laetitia;F;201
Andy;M;201
Alan;M;201
Bertille;F;200
Abdoul;M;200
Alexander;M;200
Alessandro;M;200
Grace;F;200
Domitille;F;199
Sekou;M;199
Helena;F;199
Jennah;F;199
Marco;M;198
Aloïs;M;198
Assya;F;198
Tony;M;198
Mélanie;F;197
Salimata;F;197
Karl;M;196
Aïda;F;196
Naya;F;196
Kévin;M;196
Khalil;M;195
Lilas;F;194
Eugène;M;194
Maeva;F;194
Issam;M;193
Louane;F;193
Zachary;M;193
Jannah;F;193
Lucia;F;193
Agnès;F;191
Ysé;F;191
Jean-Baptiste;M;190
Lahna;F;190
Zahra;F;189
Henry;M;188
Yara;F;188
Lilian;M;187
Maxence;F;187
Kadiatou;F;187
Élisa;F;187
Melvil;M;186
Emmanuelle;F;186
Célestin;M;186
Ben;M;186
Athénaïs;F;185
Wael;M;185
Bilel;M;185
Soumaya;F;184
Ania;F;184
Leyna;F;183
Adama;F;183
Imrane;M;183
Amel;F;183
Iyed;M;182
Ludivine;F;182
Éva;F;182
Waël;M;182
Hafsa;F;182
Éloïse;F;182
Pio;M;181
Ashley;F;181
Marilou;F;181
Isra;F;181
Idris;M;181
Benoît;M;180
Arnaud;M;180
Mickaël;M;179
Sabrina;F;179
Gaëtan;M;179
Sidonie;F;179
Kiara;F;178
Halima;F;178
Jordan;M;178
Vanessa;F;178
Calixte;M;178
Cléa;F;175
Ayline;F;175
Liora;F;174
Lucy;F;173
Lukas;M;173
Nahel;M;172
Aaliyah;F;172
Bryan;M;172
Tidiane;M;171
Hayden;M;171
Thalia;F;171
Oriane;F;171
Luce;F;170
Safiya;F;170
Cassandra;F;170
Serena;F;168
Léopoldine;F;168
Méline;F;167
Ombeline;F;167
Esmée;F;167
Soren;M;167
Johanna;F;166
Naïl;M;166
Aimée;F;166
Hassan;M;165
Yuna;F;165
Viktor;M;165
Emily;F;164
Marina;F;164
Yannis;M;164
Vladimir;M;164
Siméon;M;163
Yousra;F;163
Matisse;M;162
Emilio;M;162
Cyprien;M;161
Lyana;F;161
Chaïma;F;161
Linda;F;161
Georgia;F;161
Xavier;M;160
Aicha;F;160
Ayman;M;159
Ilyès;M;159
Maé;F;158
Maëva;F;157
Aboubakar;M;157
Izia;F;157
Melina;F;157
Matis;M;157
Charly;M;156
Lyne;F;155
Michel;M;155
Eléna;F;155
Robinson;M;155
Kassim;M;155
Eyal;M;155
Muhammad;M;155
Meriem;F;155
Kayla;F;154
Joyce;F;154
Justin;M;154
Florent;M;153
Sira;F;153
Younès;M;153
Louka;M;152
Édouard;M;152
Samba;M;152
Rosa;F;152
Anya;F;152
Safia;F;151
Ayla;F;150
Nine;F;150
Neïla;F;150
Maxim;M;150
Dounia;F;150
Paolo;M;150
Tasnim;F;149
Leandro;M;149
Khadidja;F;149
Paula;F;148
Carl;M;148
Amelia;F;147
Ema;F;147
Fatim;F;147
Aubin;M;147
Killian;M;147
Maïwenn;F;146
Angela;F;146
Malia;F;145
Rahma;F;145
Isaïah;M;145
Dario;M;144
Arthus;M;144
Dahlia;F;144
Elouan;M;144
Nell;F;144
Isaiah;M;143
Arya;F;142
Daria;F;142
Tali;F;142
Archibald;M;141
Aly;M;141
Mael;M;141
John;M;141
Safa;F;141
Dalia;F;141
Nelson;M;140
Alassane;M;140
Alessio;M;140
Nicole;F;140
Daouda;M;140
Angelo;M;140
Rym;F;139
Binta;F;139
Annabelle;F;139
Cheikh;M;139
Simone;F;138
Joaquim;M;138
Hedi;M;138
Levi;M;137
Isis;F;137
Gianni;M;137
Haya;F;137
Marlon;M;136
Jonah;M;136
Merlin;M;136
Aria;F;135
Loan;M;135
Milla;F;135
Jack;M;135
Warren;M;135
Téo;M;135
Matias;M;135
Aris;M;134
Yossef;M;134
Elyssa;F;134
Zakariya;M;134
Ève;F;133
Farès;M;133
Hajar;F;132
Aurélie;F;132
Ilona;F;132
Baya;F;132
Tiphaine;F;132
Solveig;F;131
Clarence;M;131
Liya;F;131
Tania;F;131
Yoann;M;130
Maïlys;F;130
Ornella;F;130
Morgan;M;130
Souleyman;M;130
Laurent;M;129
Milhan;M;129
Alpha;M;129
Aristide;M;128
Eliana;F;128
Olga;F;128
Catherine;F;128
Oren;M;128
Melvin;M;127
Loris;M;127
Éloi;M;127
Yahya;M;126
Tao;M;126
Amara;M;126
Camila;F;126
Guilhem;M;125
Malick;M;125
Lehna;F;125
Nola;F;125
Félicie;F;124
Louison;M;124
Mellina;F;123
Adriana;F;122
Zakarya;M;122
George;M;122
Arié;M;121
Nawel;F;121
Cléophée;F;121
Yani;M;121
Selena;F;120
Zayd;M;120
Tim;M;120
Cloé;F;120
Elly;F;119
Thibaut;M;119
Cyril;M;119
Mohamed-Amine;M;118
Lylia;F;118
Fiona;F;118
Nesrine;F;118
Loane;F;118
Alfred;M;117
Éléa;F;117
Abigaël;F;117
Miya;F;117
Evy;F;117
Lévi;M;116
Giovanni;M;116
Djeneba;F;116
Jude;M;115
Chris;M;115
Christophe;M;114
Marthe;F;114
Adélie;F;114
Ishaq;M;114
Nadia;F;114
Ryad;M;114
Ari;M;113
Dana;F;113
Aïsha;F;113
Joud;M;113
Marvin;M;113
Elyne;F;113
Ugo;M;112
Ewan;M;112
Ora;F;112
Aksil;M;112
Wendy;F;112
Gary;M;111
Tal;F;111
Stéphane;M;111
Nabil;M;111
Alphonse;M;111
Eulalie;F;110
Nada;F;110
Emilien;M;110
Kayden;M;110
Menahem;M;109
Mira;F;109
Bella;F;109
Demba;M;109
Soraya;F;109
Steven;M;109
Rémy;M;109
Milena;F;108
Mahdi;M;108
Haby;F;108
Cédric;M;107
Kilian;M;107
Eli;M;107
Malone;M;107
Yaya;M;106
Ismail;M;106
Athéna;F;106
Mady;M;106
Rokia;F;106
Quitterie;F;106
Héléna;F;105
Anita;F;105
Tina;F;105
Lily-Rose;F;105
Nour;M;105
Mélodie;F;105
Eya;F;104
May;F;104
Lou-Ann;F;104
Christopher;M;104
Mendel;M;104
Talya;F;103
Cindy;F;103
Dania;F;103
Selyan;M;103
Thiago;M;102
Logan;M;102
Imany;F;102
Keren;F;102
Nathaniel;M;102
Gisèle;F;102
Sandra;F;101
Leila;F;101
Ian;M;101
Hiba;F;101
Jaden;M;101
Ilias;M;100
Lucille;F;100
Yoan;M;100
Joana;F;100
Malek;M;100
Aydan;M;99
Leonor;F;99
Lital;F;99
El;M;99
Aude;F;99
Armel;M;99
Auriane;F;98
Lea;F;98
Elon;M;98
Andreas;M;98
Elizabeth;F;98
Ahmad;M;98
Constant;M;98
Nelly;F;98
Avril;F;97
Yannick;M;97
Michael;M;97
Ayan;M;97
Viviane;F;97
Hermine;F;97
Aimé;M;96
Hind;F;96
Selim;M;96
Naor;M;96
Nélya;F;96
Adil;M;96
Grâce;F;96
Mattia;M;95
Christine;F;94
Fatimata;F;94
Kim;F;94
Antonia;F;94
Emir;M;94
Maelys;F;94
Romeo;M;94
Kenzi;M;93
Bruno;M;93
Joan;M;93
Étienne;M;93
Nelia;F;93
Jane;F;93
Dany;M;93
Luis;M;93
Filip;M;93
